datetime_utc_minus_03,team_1,team_2,stage
2026-06-22 14:00,Argentina,Austria,Group J
2026-06-22 18:00,France,Iraq,Group I
2026-06-22 21:00,Norway,Senegal,Group I
2026-06-23 00:00,Jordan,Algeria,Group J
2026-06-23 14:00,Portugal,Uzbekistan,Group K
2026-06-23 17:00,England,Ghana,Group L
2026-06-23 20:00,Panama,Croatia,Group L
2026-06-23 23:00,Colombia,DR Congo,Group K
2026-06-24 16:00,Switzerland,Canada,Group B
2026-06-24 16:00,Bosnia and Herzegovina,Qatar,Group B
2026-06-24 19:00,Scotland,Brazil,Group C
2026-06-24 19:00,Morocco,Haiti,Group C
2026-06-24 22:00,Czechia,Mexico,Group A
2026-06-24 22:00,South Africa,South Korea,Group A
2026-06-25 17:00,Ecuador,Germany,Group E
2026-06-25 17:00,Curacao,Ivory Coast,Group E
2026-06-25 20:00,Tunisia,Netherlands,Group F
2026-06-25 20:00,Japan,Sweden,Group F
2026-06-25 23:00,Turkey,United States,Group D
2026-06-25 23:00,Paraguay,Australia,Group D
2026-06-26 16:00,Norway,France,Group I
2026-06-26 16:00,Senegal,Iraq,Group I
2026-06-26 21:00,Uruguay,Spain,Group H
2026-06-26 21:00,Cape Verde,Saudi Arabia,Group H
2026-06-27 00:00,New Zealand,Belgium,Group G
2026-06-27 00:00,Egypt,Iran,Group G
2026-06-27 18:00,Panama,England,Group L
2026-06-27 18:00,Croatia,Ghana,Group L
2026-06-27 20:30,Colombia,Portugal,Group K
2026-06-27 20:30,DR Congo,Uzbekistan,Group K
2026-06-27 23:00,Jordan,Argentina,Group J
2026-06-27 23:00,Algeria,Austria,Group J
2026-06-11 16:00,Mexico,South Africa,Group
2026-06-11 23:00,South Korea,Czechia,Group
2026-06-12 16:00,Canada,Bosnia-Herzegovina,Group
2026-06-12 22:00,United States,Paraguay,Group
2026-06-13 16:00,Qatar,Switzerland,Group
2026-06-13 19:00,Brazil,Morocco,Group
2026-06-13 22:00,Haiti,Scotland,Group
2026-06-14 01:00,Australia,Turkey,Group
2026-06-14 14:00,Germany,Curaçao,Group
2026-06-14 17:00,Netherlands,Japan,Group
2026-06-14 20:00,Ivory Coast,Ecuador,Group
2026-06-14 23:00,Sweden,Tunisia,Group
2026-06-15 13:00,Spain,Cape Verde Islands,Group
2026-06-15 16:00,Belgium,Egypt,Group
2026-06-15 19:00,Saudi Arabia,Uruguay,Group
2026-06-15 22:00,Iran,New Zealand,Group
2026-06-16 16:00,France,Senegal,Group
2026-06-16 19:00,Iraq,Norway,Group
2026-06-16 22:00,Argentina,Algeria,Group
2026-06-17 01:00,Austria,Jordan,Group
2026-06-17 14:00,Portugal,Congo DR,Group
2026-06-17 17:00,England,Croatia,Group
2026-06-17 20:00,Ghana,Panama,Group
2026-06-17 23:00,Uzbekistan,Colombia,Group
2026-06-18 13:00,Czechia,South Africa,Group
2026-06-18 16:00,Switzerland,Bosnia-Herzegovina,Group
2026-06-18 19:00,Canada,Qatar,Group
2026-06-18 22:00,Mexico,South Korea,Group
2026-06-19 16:00,United States,Australia,Group
2026-06-19 19:00,Scotland,Morocco,Group
2026-06-19 21:30,Brazil,Haiti,Group
2026-06-20 00:00,Turkey,Paraguay,Group
2026-06-20 14:00,Netherlands,Sweden,Group
2026-06-20 17:00,Germany,Ivory Coast,Group
2026-06-20 21:00,Ecuador,Curaçao,Group
2026-06-21 01:00,Tunisia,Japan,Group
2026-06-21 13:00,Spain,Saudi Arabia,Group
2026-06-21 16:00,Belgium,Iran,Group
2026-06-21 19:00,Uruguay,Cape Verde Islands,Group
2026-06-21 22:00,New Zealand,Egypt,Group
2026-06-26 21:00,Cape Verde Islands,Saudi Arabia,Group
2026-06-28 16:00,South Africa,Canada,Round of 32
2026-06-29 14:00,Brazil,Japan,Round of 32
2026-06-29 17:30,Germany,Paraguay,Round of 32
2026-06-29 22:00,Netherlands,Morocco,Round of 32
2026-06-30 14:00,Ivory Coast,Norway,Round of 32
2026-06-30 18:00,France,Sweden,Round of 32
2026-06-30 22:00,Mexico,Ecuador,Round of 32
2026-07-01 13:00,England,Congo DR,Round of 32
2026-07-01 17:00,Belgium,Senegal,Round of 32
2026-07-01 21:00,United States,Bosnia-Herzegovina,Round of 32
2026-07-02 16:00,Spain,Austria,Round of 32
2026-07-02 20:00,Portugal,Croatia,Round of 32
2026-07-03 00:00,Switzerland,Algeria,Round of 32
2026-07-03 15:00,Australia,Egypt,Round of 32
2026-07-03 19:00,Argentina,Cape Verde Islands,Round of 32
2026-07-03 22:30,Colombia,Ghana,Round of 32
